Image_no,,,,,,,Folder_No,,,,Pred_x,pred_y,Pred_label,Manual_label
85,0,0,11,11,8,12,1,1,0,0,7.3910722733,-6.7651734352,L,L
86,0,0,11,11,8,12,1,1,0,0,7.3975157738,-6.9390420914,L,L
87,0,0,11,11,8,12,1,1,0,0,7.9308223724,-7.2824320793,L,L
88,0,0,11,11,8,12,1,1,0,0,7.4174704552,-6.2842926979,L,L
89,0,0,11,11,8,12,1,1,0,0,7.0144901276,-6.6101570129,L,L
90,0,0,11,11,8,12,1,1,0,0,7.3118467331,-8.2176198959,L,L
91,0,0,11,11,8,12,1,1,0,0,8.2961940765,-8.245513916,L,L
92,0,0,11,11,8,12,1,1,0,0,6.3719511032,-7.5762791634,L,L
94,0,0,11,11,8,12,1,1,0,0,1.9520815611,-1.3960903883,R,L
95,0,0,11,11,8,12,1,1,0,0,2.2239832878,-3.2015709877,L,L
96,0,0,11,11,8,12,1,1,0,0,-0.6287535429,-1.3246766329,R,R
97,0,0,11,11,8,12,1,1,0,0,-2.1063940525,-1.1179372072,R,R
98,0,0,11,13,6,10,1,1,0,0,5.4642858505,-3.5288870335,L,L
99,0,0,11,13,6,10,1,1,0,0,5.5345110893,-3.9900383949,L,L
100,0,0,11,13,6,10,1,1,0,0,6.0112304688,-6.2868800163,L,L
101,0,0,11,13,6,10,1,1,0,0,3.2178063393,-4.8070006371,L,R
102,0,0,11,13,6,10,1,1,0,0,3.0438976288,-3.5193729401,L,R
103,0,0,11,13,6,10,1,1,0,0,2.596394062,-2.8108487129,L,R
104,0,0,11,13,6,10,1,1,0,0,5.7902812958,-5.4400463104,L,L
105,0,0,11,13,6,10,1,1,0,0,6.4303588867,-6.4795298576,L,L
106,0,0,11,13,6,10,1,1,0,0,6.617205143,-5.745973587,L,L
107,0,0,11,13,6,10,1,1,0,0,6.0251941681,-5.8411259651,L,L
108,0,0,11,13,6,10,1,1,0,0,6.7202506065,-4.2591824532,L,L
109,0,0,11,13,6,10,1,1,0,0,5.9136137962,-5.7217354774,L,L
110,0,0,11,11,8,12,1,1,0,0,6.2345275879,-4.528485775,L,L
111,0,0,11,11,8,12,1,1,0,0,6.8695101738,-4.4345431328,L,L
112,0,0,11,11,8,12,1,1,0,0,6.4291586876,-4.9001626968,L,L
113,0,0,11,11,8,12,1,1,0,0,5.512011528,-4.3894143105,L,L
114,0,0,11,11,8,12,1,1,0,0,5.8149600029,-3.0680172443,L,L
115,0,0,11,11,8,12,1,1,0,0,5.9995117188,-2.6643426418,L,L
116,0,0,11,11,8,12,1,1,0,0,5.9754943848,-3.2500326633,L,L
117,0,0,11,11,8,12,1,1,0,0,5.4569559097,-2.9370102882,L,L
118,0,0,11,11,8,12,1,1,0,0,4.9801177979,-4.641453743,L,L
119,0,0,11,11,8,12,1,1,0,0,6.0749797821,-4.8264765739,L,L
120,0,0,11,11,8,12,1,1,0,0,5.1534295082,-4.6492204666,L,L
121,0,0,11,11,8,12,1,1,0,0,7.5217952728,-4.701403141,L,L
122,0,0,11,11,8,12,1,1,0,0,7.6539020538,-4.5048708916,L,L
123,0,0,11,11,8,12,1,1,0,0,8.2658309937,-5.7905240059,L,L
124,0,0,11,11,8,12,1,1,0,0,7.4878883362,-2.5487322807,L,L
125,0,0,11,11,8,12,1,1,0,0,4.9752907753,-5.5934586525,L,L
126,0,0,11,11,8,12,1,1,0,0,5.1432905197,-4.7093119621,L,L
127,0,0,11,11,8,12,1,1,0,0,6.6718063354,-5.9144515991,L,L
128,0,0,11,11,8,12,1,1,0,0,10.3481864929,-6.2284045219,L,L
129,0,0,11,11,8,12,1,1,0,0,7.5953335762,-4.9366779327,L,L
130,0,0,11,11,8,12,1,1,0,0,3.8289875984,-4.6996273994,L,L
131,0,0,11,11,8,12,1,1,0,0,3.5974245071,-2.5293977261,L,L
132,0,0,11,11,6,10,1,1,0,0,2.7591872215,-7.0141882896,L,L
133,0,0,11,11,6,10,1,1,0,0,6.6853270531,-6.794573307,L,L
134,0,0,11,11,6,10,1,1,0,0,6.4013929367,-8.3032083511,L,L
135,0,0,11,11,6,10,1,1,0,0,6.6482210159,-9.7633180618,L,L
136,0,0,11,11,6,10,1,1,0,0,8.3671989441,-8.7387809753,L,L
137,0,0,11,11,6,10,1,1,0,0,6.4809970856,-9.3500041962,L,L
138,0,0,11,11,8,12,1,1,0,0,6.5946965218,-7.1206531525,L,L
139,0,0,11,11,8,12,1,1,0,0,6.2696371078,-5.9832043648,L,L
140,0,0,11,11,8,12,1,1,0,0,6.5070323944,-7.4107904434,L,L
141,0,0,11,11,8,12,1,1,0,0,1.5298901796,-3.6772794724,R,R
142,0,0,11,11,8,12,1,1,0,0,1.9179824591,-4.3565793037,R,R
143,0,0,11,13,6,10,1,1,0,0,4.2075719833,-6.8195724487,L,R
144,0,0,11,13,6,10,1,1,0,0,5.9319529533,-7.2510151863,L,L
145,0,0,11,13,6,10,1,1,0,0,5.4344062805,-4.878695488,L,L
146,0,0,11,13,6,10,1,1,0,0,5.2514276505,-5.2087836266,L,L
147,0,0,11,13,6,10,1,1,0,0,5.8595542908,-4.3917002678,L,L
148,0,0,11,13,6,10,1,1,0,0,5.8510041237,-5.2940502167,L,L
149,0,0,11,13,6,10,1,1,0,0,7.1767444611,-6.7202429771,L,L
150,0,0,11,13,6,10,1,1,0,0,4.7531013489,-5.7704138756,L,L
151,0,0,11,13,6,10,1,1,0,0,5.2533793449,-4.97001791,L,L
152,0,0,11,13,6,10,1,1,0,0,5.2606668472,-5.5756115913,L,L
153,0,0,11,13,6,10,1,1,0,0,4.747179985,-4.8230814934,L,L
154,0,0,11,13,6,10,1,1,0,0,5.3807430267,-5.3631725311,L,L
155,0,0,11,13,6,10,1,1,0,0,6.5728969574,-6.2781062126,L,L
156,0,0,11,13,6,10,1,1,0,0,6.0350866318,-5.8945708275,L,L
157,0,0,11,13,6,10,1,1,0,0,4.825340271,-3.5823757648,L,L
158,0,0,11,13,6,10,1,1,0,0,4.4496507645,-4.4882678986,L,L
159,0,0,11,13,6,10,1,1,0,0,4.4451093674,-4.9831938744,L,L
160,0,0,11,13,6,10,1,1,0,0,4.5036821365,-5.3583745956,L,L
161,0,0,11,13,6,10,1,1,0,0,5.2518553734,-4.6881542206,L,L
162,0,0,11,13,6,10,1,1,0,0,4.7664632797,-5.200492382,L,L
163,0,0,11,13,6,10,1,1,0,0,4.7223672867,-5.4837841988,L,L
164,0,0,11,13,6,10,1,1,0,0,5.1645412445,-4.5148158073,L,L
165,0,0,11,13,6,10,1,1,0,0,4.8396315575,-5.3933196068,L,L
166,0,0,11,13,6,10,1,1,0,0,4.3510503769,-4.1018815041,L,L
167,0,0,11,13,6,10,1,1,0,0,4.3192839622,-4.7742199898,L,L
168,0,0,11,13,6,10,1,1,0,0,4.0938167572,-4.3907580376,L,L
169,0,0,11,13,6,10,1,1,0,0,5.0797948837,-6.9795403481,L,L
170,0,0,11,13,6,10,1,1,0,0,5.0111732483,-6.6118283272,L,L
171,0,0,11,13,6,10,1,1,0,0,5.212430954,-7.6752457619,L,L
172,0,0,11,13,6,10,1,1,0,0,5.7321596146,-6.4668107033,L,L
173,0,0,11,13,6,10,1,1,0,0,6.170088768,-7.3598718643,L,L
174,0,0,11,11,8,12,1,1,0,0,6.9462833405,-4.9742102623,L,L
175,0,0,11,11,8,12,1,1,0,0,6.9560909271,-4.8482794762,L,L
176,0,0,11,11,8,12,1,1,0,0,6.8860836029,-3.4883430004,L,L
177,0,0,11,11,8,12,1,1,0,0,6.3412485123,-3.7019901276,L,L
178,0,0,11,11,8,12,1,1,0,0,3.3833985329,-2.7745196819,L,R
179,0,0,11,11,8,12,1,1,0,0,1.0948067904,-3.3169827461,R,R
180,0,0,11,11,8,12,1,1,0,0,0.1921859682,-2.6574752331,R,R
181,0,0,11,11,8,12,1,1,0,0,-0.168954134,-5.216609478,R,R
182,0,0,11,11,8,12,1,1,0,0,1.3224847317,-6.6575593948,R,R
183,0,0,11,11,8,12,1,1,0,0,3.5588097572,-5.0836076736,L,L
184,0,0,11,11,8,12,1,1,0,0,2.7991104126,-6.6683697701,L,L
185,0,0,11,11,8,12,1,1,0,0,2.2109780312,-7.5171051025,L,L
186,0,0,11,11,8,12,1,1,0,0,3.052877903,-8.6733856201,L,L
187,0,0,11,11,8,12,1,1,0,0,3.9271965027,-7.8754615784,L,L
188,0,0,11,11,8,12,1,1,0,0,4.0309915543,-8.8497428894,L,L
189,0,0,11,11,8,12,1,1,0,0,3.8705554008,-8.5057659149,L,L
190,0,0,11,11,8,12,1,1,0,0,4.0827889442,-7.1238441467,L,L
191,0,0,11,11,8,12,1,1,0,0,4.1617355347,-7.8184781075,L,L
192,0,0,11,11,8,12,1,1,0,0,5.1080284119,-6.6616134644,L,L
193,0,0,11,11,8,12,1,1,0,0,5.9308624268,-4.8199977875,L,L
194,0,0,11,11,8,12,1,1,0,0,5.276506424,-4.4967923164,L,L
195,0,0,11,11,8,12,1,1,0,0,4.8381071091,-5.802093029,L,L
196,0,0,11,11,8,12,1,1,0,0,5.3806490898,-5.0053563118,L,L
197,0,0,11,11,8,12,1,1,0,0,3.879242897,-4.7659873962,L,L
198,0,0,11,11,8,12,1,1,0,0,2.8682851791,-4.7179121971,L,L
199,0,0,11,11,8,12,1,1,0,0,3.1012182236,-3.1223852634,L,L
200,0,0,11,11,8,12,1,1,0,0,3.5721435547,-4.5558853149,L,L
201,0,0,11,11,8,12,1,1,0,0,0.1102463603,-3.5428640842,R,R
202,0,0,11,11,8,12,1,1,0,0,-0.4908743501,-3.675829649,R,R
203,0,0,11,11,8,12,1,1,0,0,-0.5360034108,-2.9692714214,R,R
204,0,0,11,11,8,12,1,1,0,0,3.8992738724,-2.5341727734,L,L
205,0,0,11,13,6,10,1,1,0,0,4.6485342979,-5.0518040657,L,L
206,0,0,11,11,8,12,1,1,0,0,4.3152427673,-3.6124196053,L,L
207,0,0,11,11,8,12,1,1,0,0,4.3307356834,-3.7415578365,L,L
208,0,0,11,11,8,12,1,1,0,0,4.4690704346,-4.8123354912,L,L
209,0,0,11,11,8,12,1,1,0,0,4.2487411499,-4.732111454,L,L
210,0,0,11,11,8,12,1,1,0,0,3.9431772232,-3.4685771465,L,L
211,0,0,11,11,8,12,1,1,0,0,4.123919487,-3.8222210407,L,L
212,0,0,11,11,8,12,1,1,0,0,4.5011048317,-3.5210270882,L,L
213,0,0,11,11,8,12,1,1,0,0,5.0622081757,-3.1791183949,L,L
214,0,0,11,11,8,12,1,1,0,0,5.6505432129,-3.8057477474,L,L
215,0,0,11,11,8,12,1,1,0,0,4.1045250893,-3.9019224644,L,L
216,0,0,11,11,8,12,1,1,0,0,4.8505020142,-3.6321940422,L,L
217,0,0,11,11,8,12,1,1,0,0,5.6797018051,-1.8651388884,L,L
218,0,0,11,11,8,12,1,1,0,0,5.610678196,-2.6159539223,L,L
219,0,0,11,11,8,12,1,1,0,0,6.2603120804,-1.6140022278,L,L
220,0,0,11,11,8,12,1,1,0,0,5.0258979797,-3.0135672092,L,L
221,0,0,11,11,8,12,1,1,0,0,5.0468249321,-3.2552912235,L,L
222,0,0,11,11,8,12,1,1,0,0,4.7455472946,-2.6183607578,L,L
1,0,0,12,13,8,12,2,1,0,0,3.2973299026,-7.5035748482,L,R
2,0,0,12,13,8,12,2,1,0,0,6.8925771713,-4.4475903511,L,R
3,0,0,12,13,8,12,2,1,0,0,6.4915337563,-4.6763334274,L,R
4,0,0,12,13,8,12,2,1,0,0,7.0054550171,-5.1188721657,L,R
5,0,0,12,13,8,12,2,1,0,0,5.27140522,-4.2742204666,L,R
6,0,0,12,13,8,12,2,1,0,0,5.4918107986,-4.0073533058,L,R
7,0,0,12,11,8,12,2,1,0,0,7.9223880768,-5.4480695724,L,L
8,0,0,12,13,8,12,2,1,0,0,7.0709695816,-5.6934309006,L,L
9,0,0,12,13,8,12,2,1,0,0,6.9381523132,-4.1087956429,L,L
10,0,0,12,13,8,12,2,1,0,0,6.902554512,-4.5887947083,L,L
11,0,0,12,13,8,12,2,1,0,0,7.1147661209,-3.8308601379,L,L
12,0,0,12,13,8,12,2,1,0,0,6.8569488525,-3.5893156528,L,L
13,0,0,12,13,8,12,2,1,0,0,8.3705387115,-3.4344031811,L,L
14,0,0,13,13,8,12,2,1,0,0,4.358710289,-5.4846448898,L,R
15,0,0,13,13,8,12,2,1,0,0,3.4276299477,-6.0785346031,L,R
16,0,0,13,13,8,12,2,1,0,0,4.1383018494,-4.6855053902,L,R
17,0,0,13,13,8,12,2,1,0,0,9.2766447067,-6.3833765984,L,L
18,0,0,13,13,8,12,2,1,0,0,7.2217383385,-6.4377512932,L,L
19,0,0,13,13,8,12,2,1,0,0,8.4060564041,-6.2898316383,L,L
20,0,0,12,13,8,12,2,1,0,0,8.7372283936,-3.823802948,L,L
21,0,0,12,13,8,12,2,1,0,0,9.368601799,-5.7579131126,L,L
22,0,0,12,13,8,12,2,1,0,0,7.5822439194,-3.058442831,L,L
23,0,0,12,13,8,12,2,1,0,0,8.4828453064,-4.606982708,L,L
24,0,0,13,13,8,12,2,1,0,0,8.4343481064,-6.9443688393,L,L
25,0,0,13,13,8,12,2,1,0,0,9.2464294434,-5.3594212532,L,L
26,0,0,13,13,8,12,2,1,0,0,8.0377616882,-4.4441738129,L,L
27,0,0,13,13,8,12,2,1,0,0,6.8464837074,-3.5395081043,L,L
28,0,0,12,13,8,12,2,1,0,0,8.27277565,-0.9366599917,L,L
29,0,0,12,13,8,12,2,1,0,0,8.0812187195,-0.9654747844,L,L
30,0,0,12,13,8,12,2,1,0,0,6.9738945961,-1.9425069094,L,L
31,0,0,12,13,8,12,2,1,0,0,7.3433213234,-4.0367398262,L,L
32,0,0,12,13,8,12,2,1,0,0,7.4395084381,-3.0191178322,L,L
33,0,0,12,13,8,12,2,1,0,0,7.0273356438,-3.4733464718,L,L
34,0,0,12,13,8,12,2,1,0,0,7.6645383835,-2.8231701851,L,L
35,0,0,12,13,8,12,2,1,0,0,7.4365701675,-4.57010746,L,L
36,0,0,12,13,8,12,2,1,0,0,8.5975437164,-2.4593615532,L,L
37,0,0,12,13,8,12,2,1,0,0,9.5154476166,-4.9817843437,L,L
38,0,0,12,13,8,12,2,1,0,0,9.5979709625,-3.9837834835,L,L
39,0,0,12,13,8,12,2,1,0,0,3.6517891884,-3.8193166256,L,R
40,0,0,12,13,8,12,2,1,0,0,2.0728321075,-4.4689612389,L,R
41,0,0,12,13,8,12,2,1,0,0,2.7062501907,-4.1574730873,L,R
42,0,0,12,13,8,12,2,1,0,0,6.1909594536,-4.6226658821,L,L
43,0,0,12,13,8,12,2,1,0,0,6.2668123245,-2.2880318165,L,L
44,0,0,12,13,8,12,2,1,0,0,5.3899035454,-2.7926237583,L,L
45,0,0,12,13,8,12,2,1,0,0,6.5730018616,-4.0103607178,L,L
46,0,0,12,13,8,12,2,1,0,0,6.9901990891,-3.1093120575,L,L
47,0,0,12,13,8,12,2,1,0,0,4.4705386162,-3.2239468098,L,R
48,0,0,12,13,8,12,2,1,0,0,2.7331266403,-3.313842535,L,R
49,0,0,12,13,8,12,2,1,0,0,1.8726199865,-4.1797990799,R,R
50,0,0,12,13,8,12,2,1,0,0,1.1501801014,-4.8520073891,R,R
51,0,0,12,13,8,12,2,1,0,0,2.4391889572,-3.4351007938,L,R
52,0,0,12,13,8,12,2,1,0,0,1.5817317963,-5.2623877525,R,R
53,0,0,12,13,8,12,2,1,0,0,3.3128080368,-4.2601313591,L,R
54,0,0,13,13,8,12,2,1,0,0,3.3077235222,-4.0441794395,L,R
55,0,0,13,13,8,12,2,1,0,0,3.3144917488,-3.9871251583,L,R
56,0,0,13,13,8,12,2,1,0,0,7.0790987015,-3.1962559223,L,L
57,0,0,12,13,8,12,2,1,0,0,6.0484571457,-2.7409102917,L,L
58,0,0,12,13,8,12,2,1,0,0,5.3241629601,-1.7233997583,L,L
59,0,0,13,13,8,12,2,1,0,0,5.5034651756,-3.3093039989,L,L
60,0,0,13,13,8,12,2,1,0,0,4.485212326,-2.6103522778,L,L
61,0,0,13,13,8,12,2,1,0,0,4.6738114357,-4.6532821655,L,L
62,0,0,13,13,8,12,2,1,0,0,5.2162928581,-5.374751091,L,L
63,0,0,13,13,8,12,2,1,0,0,4.2628479004,-5.2299923897,L,L
64,0,0,13,13,8,12,2,1,0,0,4.58360672,-5.5136876106,L,L
65,0,0,13,13,8,12,2,1,0,0,4.785138607,-5.5239911079,L,L
66,0,0,13,13,8,12,2,1,0,0,1.7355253696,-3.2414054871,R,R
67,0,0,13,13,8,12,2,1,0,0,1.4896398783,-4.5874648094,R,R
68,0,0,13,13,8,12,2,1,0,0,1.666633606,-4.5364985466,R,R
69,0,0,13,13,8,12,2,1,0,0,1.5440940857,-3.6159083843,R,R
70,0,0,13,13,8,12,2,1,0,0,1.8981739283,-4.9569735527,R,R
71,0,0,13,13,8,12,2,1,0,0,1.0606330633,-5.2910513878,R,R
72,0,0,12,13,8,12,2,1,0,0,1.1704640388,-5.201151371,R,R
73,0,0,12,13,8,12,2,1,0,0,4.1805939674,-5.6604294777,L,L
74,0,0,12,13,8,12,2,1,0,0,5.2045092583,-4.4879188538,L,L
75,0,0,12,13,8,12,2,1,0,0,4.492893219,-4.5169968605,L,L
76,0,0,12,13,8,12,2,1,0,0,4.4197020531,-3.2880442142,L,L
77,0,0,12,13,8,12,2,1,0,0,4.3548173904,-3.155367136,L,L
78,0,0,12,13,8,12,2,1,0,0,2.59167099,-3.7069370747,L,R
79,0,0,13,13,8,12,2,1,0,0,2.078347683,-5.1070961952,L,R
80,0,0,13,13,8,12,2,1,0,0,1.9768203497,-4.2789745331,R,R
81,0,0,13,13,8,12,2,1,0,0,2.1407771111,-4.6783680916,L,R
82,0,0,13,13,8,12,2,1,0,0,1.9391402006,-3.7184855938,R,R
83,0,0,13,13,8,12,2,1,0,0,4.8816308975,-6.2741103172,L,L
84,0,0,13,13,8,12,2,1,0,0,5.835062027,-5.8893637657,L,L
85,0,0,13,13,8,12,2,1,0,0,6.7804999352,-3.9892446995,L,L
86,0,0,13,13,8,12,2,1,0,0,7.3964881897,-3.5465462208,L,L
88,0,0,13,13,8,12,2,1,0,0,6.3957056999,-4.1978106499,L,L
89,0,0,13,13,8,12,2,1,0,0,5.5197277069,-3.3828752041,L,L
90,0,0,13,13,8,12,2,1,0,0,6.3520736694,-3.3033187389,L,L
91,0,0,12,13,8,12,2,1,0,0,5.8177347183,-3.7328515053,L,L
92,0,0,12,13,8,12,2,1,0,0,5.9437565804,-3.898113966,L,L
93,0,0,13,13,8,12,2,1,0,0,5.2682418823,-4.6349253654,L,L
94,0,0,13,13,8,12,2,1,0,0,5.4583582878,-5.1968612671,L,L
95,0,0,13,13,8,12,2,1,0,0,5.1802506447,-3.6409039497,L,L
96,0,0,12,13,8,12,2,1,0,0,5.8260116577,-3.5873787403,L,L
97,0,0,12,13,8,12,2,1,0,0,7.2688999176,-4.3910317421,L,L
98,0,0,12,13,8,12,2,1,0,0,6.7127332687,-4.6799297333,L,L
99,0,0,12,13,8,12,2,1,0,0,5.6368570328,-2.9763839245,L,L
100,0,0,12,13,8,12,2,1,0,0,6.3008327484,-5.6007742882,L,L
101,0,0,12,13,8,12,2,1,0,0,5.8204464912,-4.2583212852,L,L
102,0,0,12,13,8,12,2,1,0,0,5.0922350883,-6.1709342003,L,L
103,0,0,12,13,8,12,2,1,0,0,2.7424354553,-5.4071946144,L,R
104,0,0,12,13,8,12,2,1,0,0,2.7678194046,-5.6176352501,L,R
105,0,0,12,13,8,12,2,1,0,0,1.7767950296,-3.4687438011,R,R
106,0,0,12,13,8,12,2,1,0,0,8.9836416245,-1.9066123962,L,L
107,0,0,13,13,8,12,2,1,0,0,6.726539135,-6.6500945091,L,L
108,0,0,13,13,8,12,2,1,0,0,7.0353589058,-5.8370542526,L,L
109,0,0,12,13,8,12,2,1,0,0,8.208773613,-3.9689590931,L,L
110,0,0,12,13,8,12,2,1,0,0,8.1115903854,-4.2447686195,L,L
111,0,0,12,13,8,12,2,1,0,0,6.9610052109,-4.5689115524,L,L
112,0,0,12,13,8,12,2,1,0,0,6.7340922356,-4.2473115921,L,L
113,0,0,13,13,8,12,2,1,0,0,8.6798658371,-6.0446567535,L,L
114,0,0,13,13,8,12,2,1,0,0,6.0192012787,-3.1755182743,L,L
115,0,0,13,13,8,12,2,1,0,0,3.6345362663,-4.5699052811,L,R
116,0,0,13,13,8,12,2,1,0,0,2.3815016747,-2.8739850521,L,R
117,0,0,13,13,8,12,2,1,0,0,2.7703380585,-4.7101354599,L,R
118,0,0,13,13,8,12,2,1,0,0,3.2545924187,-3.619133234,L,R
119,0,0,13,13,8,12,2,1,0,0,4.4552078247,-6.4976139069,L,L
120,0,0,11,12,9,14,2,1,0,0,5.3600559235,-3.4854593277,L,L
121,0,0,12,13,8,12,2,1,0,0,5.8725767136,-4.1969871521,L,L
